source_id,source_name,source_type,url,title,published_at,fetched_at,content_hash,license,notes
synthetic_seed_2026_04_27,Synthetic seed data,community,https://example.com/llm-benchmark-db/synthetic-seed,Synthetic seed rows for API development,2026-04-27,2026-04-27T00:00:00,synthetic,CC0-1.0,Scores are synthetic examples only and must not be interpreted as real claims.
openai_gpt_5_5_launch_2026_04_23,OpenAI GPT-5.5 launch post,official_lab,https://openai.com/index/introducing-gpt-5-5/,Introducing GPT-5.5,2026-04-23,2026-05-03T00:00:00,,,Official OpenAI launch post. Rows from this source are provider-reported and should be labeled as official lab claims.
artificial_analysis_gpqa_diamond_2026_05_03,Artificial Analysis GPQA Diamond leaderboard,independent,https://artificialanalysis.ai/evaluations/gpqa-diamond,GPQA Diamond Benchmark Leaderboard,,2026-05-03T00:00:00,,,"Dynamic independent leaderboard page; no static publication date exposed, so freshness is represented by fetched_at and extracted_at."
artificial_analysis_terminalbench_hard_2026_05_03,Artificial Analysis Terminal-Bench Hard leaderboard,independent,https://artificialanalysis.ai/evaluations/terminalbench-hard,Terminal-Bench Hard Benchmark Leaderboard,,2026-05-03T00:00:00,,,"Dynamic independent leaderboard page; no static publication date exposed, so freshness is represented by fetched_at and extracted_at."
anthropic_claude_opus_4_7_launch_2026_04_16,Anthropic Claude Opus 4.7 launch post,official_lab,https://www.anthropic.com/news/claude-opus-4-7,Introducing Claude Opus 4.7,2026-04-16,2026-05-03T00:00:00,,,Official Anthropic launch post. Numeric benchmark table is rendered as an image; text exposes methodology footnotes and release metadata.
llm_stats_claude_opus_4_7_2026_04_16,LLM Stats Claude Opus 4.7 launch summary,provider_claim,https://llm-stats.com/blog/research/claude-opus-4-7-launch,"Claude Opus 4.7: Benchmarks, Pricing, Context & What's New",2026-04-16,2026-05-03T00:00:00,,,Public summary of Anthropic-reported launch benchmark numbers; use as provider-claim provenance unless independently rerun.
geta_claude_opus_4_7_2026_04_19,getA Claude Opus 4.7 agent benchmark analysis,provider_claim,https://blog.geta.team/claude-opus-4-7-just-dropped-heres-what-the-benchmarks-actually-mean-for-agent-builders/,Claude Opus 4.7 Just Dropped. Here's What the Benchmarks Actually Mean for Agent Builders.,2026-04-19,2026-05-03T00:00:00,,,Public analysis summarizing Anthropic-reported agent benchmark numbers; use as provider-claim provenance unless independently rerun.
officechai_claude_opus_4_7_2026_04_16,OfficeChai Claude Opus 4.7 benchmark summary,provider_claim,https://officechai.com/ai/ckaude-opus-4-7-benchmarks/,"Anthropic Releases Claude Opus 4.7, Beats GPT-5.4, Gemini 3.1 Pro On Most Benchmarks",2026-04-16,2026-05-03T00:00:00,,,Public summary of Anthropic-reported launch benchmark numbers; use as provider-claim provenance unless independently rerun.
binaryverse_claude_opus_4_7_2026_04_16,BinaryVerse Claude Opus 4.7 benchmark guide,provider_claim,https://binaryverseai.com/claude-opus-4-7-benchmarks-token-limits-mythos/,Claude Opus 4.7: 7 Major Benchmarks And Token Limits Guide,2026-04-16,2026-05-03T00:00:00,,,Public summary table of Anthropic-reported launch benchmark numbers; use as provider-claim provenance unless independently rerun.
deepseek_v4_pro_hf_2026_04_22,DeepSeek V4 Pro Hugging Face model card,official_lab,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,2026-04-22,2026-05-03T00:00:00,,MIT,Official DeepSeek model card and reported benchmark table.
nist_caisi_deepseek_v4_pro_2026_05_01,NIST CAISI DeepSeek V4 Pro evaluation,independent,https://www.nist.gov/news-events/news/2026/05/caisi-evaluation-deepseek-v4-pro,CAISI Evaluation of DeepSeek V4 Pro,2026-05-01,2026-05-03T00:00:00,,,"Independent CAISI/NIST evaluation. CAISI notes prompt, scaffold, and token-budget differences for SWE-bench Verified."
moonshot_kimi_k2_6_hf_2026_04_20,Moonshot Kimi K2.6 Hugging Face model card and eval files,official_lab,https://huggingface.co/moonshotai/Kimi-K2.6,moonshotai/Kimi-K2.6,2026-04-20,2026-05-03T00:00:00,,Modified MIT,Official Moonshot model card plus .eval_results YAML files.
zai_glm_5_1_hf_2026_04_07,Z.AI GLM-5.1 Hugging Face model card,official_lab,https://huggingface.co/zai-org/GLM-5.1,zai-org/GLM-5.1,2026-04-07,2026-05-03T00:00:00,,MIT,Official Z.AI GLM-5.1 model card and benchmark table.
anthropic_sonnet_4_6_system_card_2026_02_17,Anthropic Claude Sonnet 4.6 system card,official_lab,https://www.anthropic.com/claude-sonnet-4-6-system-card,Claude Sonnet 4.6 System Card,2026-02-17,2026-05-03T00:00:00,,,Official Anthropic system card with benchmark methodology and reported scores.
qwen3_6_plus_blog_2026_04_01,Qwen3.6-Plus official blog post,official_lab,https://qwen.ai/blog?id=qwen3.6,Qwen3.6-Plus: Towards Real World Agents,2026-04-01,2026-05-03T00:00:00,,,Official Qwen blog post with model release metadata and benchmark tables.
minimax_m2_5_launch_2026_02_12,MiniMax M2.5 launch post,official_lab,https://www.minimax.io/news/minimax-m25,MiniMax M2.5: Built for Real-World Productivity.,2026-02-12,2026-05-03T00:00:00,,,Official MiniMax launch post with provider-reported coding benchmark results.
swebench_minimax_m2_5_2026_02_17,SWE-bench official leaderboard,official_benchmark,https://www.swebench.com/,SWE-bench Leaderboards,2026-02-17,2026-05-03T00:00:00,,,Official SWE-bench leaderboard row for mini-SWE-agent + MiniMax M2.5.
minimax_m2_5_hf_2026_02_13,MiniMax M2.5 Hugging Face model card and eval files,official_lab,https://huggingface.co/MiniMaxAI/MiniMax-M2.5,MiniMaxAI/MiniMax-M2.5,2026-02-13,2026-05-03T00:00:00,,Modified MIT,MiniMax Hugging Face model card and eval result files.
google_gemini_3_1_pro_model_card_2026_02_19,Google DeepMind Gemini 3.1 Pro model card,official_lab,https://deepmind.google/models/model-cards/gemini-3-1-pro/,Gemini 3.1 Pro Model Card,2026-02-19,2026-05-04T00:00:00,,,Official Google DeepMind model card with model metadata and benchmark comparison table.
arena_leaderboard_2026_05_04,Arena leaderboard snapshot,official_benchmark,https://arena.ai/leaderboard,Arena Leaderboard,2026-05-01,2026-05-04T00:00:00,,,"Arena public leaderboard snapshot exposing text, code, vision, document, and search arena scores."
xai_models_docs_2026_04_30,xAI models and pricing docs,official_lab,https://docs.x.ai/developers/models,xAI Models and Pricing,2026-04-30,2026-05-04T00:00:00,,,Official xAI docs used for model-family metadata; benchmark rows use public leaderboard sources.
meta_muse_spark_2026_04_08,Meta Muse Spark announcement,official_lab,https://about.fb.com/news/2026/04/introducing-muse-spark-meta-superintelligence-labs/,Introducing Muse Spark,2026-04-08,2026-05-04T00:00:00,,,Official Meta announcement with release and product-access metadata.
xiaomi_mimo_v2_5_pro_hf_2026_04_28,Xiaomi MiMo-V2.5-Pro Hugging Face model card,official_lab,https://huggingface.co/XiaomiMiMo/MiMo-V2.5-Pro,XiaomiMiMo/MiMo-V2.5-Pro,2026-04-28,2026-05-04T00:00:00,,MIT,"Official Xiaomi MiMo Hugging Face model card with architecture, context window, and evaluation table."
anthropic_opus_4_6_launch_2026_02_05,Anthropic Claude Opus 4.6 announcement and system card,official_lab,https://www.anthropic.com/news/claude-opus-4-6,Claude Opus 4.6,2026-02-05,2026-05-04T00:00:00,,,Official Anthropic launch post and linked system card for Claude Opus 4.6 benchmark methodology.
marco_swe_bench_leaderboard_2026_05,Marco Patzelt SWE-Bench leaderboard May 2026,independent,https://www.marc0.dev/en/leaderboard,SWE-Bench Verified Leaderboard May 2026,2026-05-01,2026-05-04T00:00:00,,,"Independent public leaderboard aggregation for SWE-bench Verified, SWE-bench Pro, Terminal-Bench, and Aider Polyglot."
agentmarketcap_grok_swe_2026_04_10,AgentMarketCap Grok SWE-bench analysis,community,https://agentmarketcap.ai/blog/2026/04/10/grok-4-swebench-80-percent-frontier-coding-leaderboard,Grok 4 Joins the SWE-bench 80%+ Club,2026-04-10,2026-05-04T00:00:00,,,Community analysis reporting Grok 4.20 SWE-bench Verified; kept unverified.
